횟수,국가,출전연도
7회,카메룬,"1982, 1990, 1994, 1998, 2002, 2010, 2014"
6회,나이지리아,"1994, 1998, 2002, 2010, 2014, 2018"
5회,모로코,"1970, 1986, 1994, 1998, 2018"
5회,튀니지,"1978, 1998, 2002, 2006, 2018"
4회,알제리,"1982, 1986, 2010, 2014"
3회,남아프리카 공화국,"1998, 2002, 2010"
3회,가나,"2006, 2010, 2014"
3회,코트디부아르,"2006, 2010, 2014"
3회,이집트,"1934, 1990, 2018"
2회,세네갈,"2002, 2018"
1회,콩고 민주 공화국,1974
1회,앙골라,2006
1회,토고,2006
