횟수,국가,출전연도
16회,멕시코,"1930, 1950, 1954, 1958, 1962, 1966, 1970, 1978, 1986, 1994, 1998, 2002, 2006, 2010, 2014, 2018"
10회,미국,"1930, 1934, 1950, 1990, 1994, 1998, 2002, 2006, 2010, 2014"
5회,코스타리카,"1990, 2002, 2006, 2014, 2018"
3회,온두라스,"1982, 2010, 2014"
2회,엘살바도르,"1970, 1982"
1회,쿠바,1938
1회,아이티,1974
1회,캐나다,1986
1회,자메이카,1998
1회,트리니다드 토바고,2006
1회,파나마,2018
