횟수,국가,출전연도
10회,대한민국,"1954, 1986, 1990, 1994, 1998, 2002, 2006, 2010, 2014, 2018"
6회,일본,"1998, 2002, 2006, 2010, 2014, 2018"
5회,이란,"1978, 1998, 2006, 2014, 2018"
5회,사우디아라비아,"1994, 1998, 2002, 2006, 2018"
5회,호주,"1974, 2006, 2010, 2014, 2018"
2회,북한,"1966, 2010"
1회,인도네시아,1938
1회,이스라엘,1970
1회,쿠웨이트,1982
1회,이라크,1986
1회,아랍에미리트,1990
1회,중국,2002
1회,카타르,2022
