횟수,국가,출전연도
22회,브라질,"1930, 1934, 1938, 1950, 1954, 1958, 1962, 1966, 1970, 1974, 1978, 1982, 1986, 1990, 1994, 1998, 2002, 2006, 2010, 2014, 2018, 2022"
18회,아르헨티나,"1930, 1934, 1958, 1962, 1966, 1974, 1978, 1982, 1986, 1990, 1994, 1998, 2002, 2006, 2010, 2014, 2018, 2022"
13회,우루과이,"1930, 1950, 1954, 1962, 1966, 1970, 1974, 1986, 1990, 2002, 2010, 2014, 2018"
9회,칠레,"1930, 1950, 1962, 1966, 1974, 1982, 1998, 2010, 2014"
8회,파라과이,"1930, 1950, 1958, 1986, 1998, 2002, 2006, 2010"
6회,콜롬비아,"1962, 1990, 1994, 1998, 2014, 2018"
5회,페루,"1930, 1970, 1978, 1982, 2018"
3회,볼리비아,"1930, 1950, 1994"
3회,에콰도르,"2002, 2006, 2014"
